micro_average_dice_SE;1.0
micro_average_dice_source;NaN
micro_average_dice_target;0.9858156028368793
micro_average_f1measure_SE;0.5311163895486936
micro_average_f1measure_SE_exact;0.5311163895486936
micro_average_f1measure_SE_source;NaN
micro_average_f1measure_SE_source_exact;NaN
micro_average_f1measure_SE_target;0.3263888888888889
micro_average_f1measure_SE_target_exact;0.3125
micro_average_f1measure_source;NaN
micro_average_f1measure_source_exact;NaN
micro_average_f1measure_target;0.17836812144212524
micro_average_f1measure_target_exact;0.17077798861480076
micro_average_precision_SE;0.5629405840886204
micro_average_precision_SE_exact;0.5629405840886204
micro_average_precision_SE_source;NaN
micro_average_precision_SE_source_exact;NaN
micro_average_precision_SE_target;0.34306569343065696
micro_average_precision_SE_target_exact;0.3284671532846715
micro_average_precision_source;NaN
micro_average_precision_source_exact;NaN
micro_average_precision_target;0.1865079365079365
micro_average_precision_target_exact;0.17857142857142858
micro_average_recall_SE;0.5026978417266187
micro_average_recall_SE_exact;0.5026978417266187
micro_average_recall_SE_source;NaN
micro_average_recall_SE_source_exact;NaN
micro_average_recall_SE_target;0.31125827814569534
micro_average_recall_SE_target_exact;0.2980132450331126
micro_average_recall_source;NaN
micro_average_recall_source_exact;NaN
micro_average_recall_target;0.1709090909090909
micro_average_recall_target_exact;0.16363636363636364
