LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_154328.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.4739583333333333
SE__cum_dice;546.0
SE__f1measure;0.6431095406360425
SE__f1measure_exact;0.6431095406360425
SE__precision;0.7593880389429764
SE__precision_exact;0.7593880389429764
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;719.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;173.0
SE_fp_exact;173.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9803921568627453
target_SE__avg_dice;0.4587155963302753
target_SE__cum_dice;100.00000000000001
target_SE__f1measure;0.6375000000000001
target_SE__f1measure_exact;0.6114649681528662
target_SE__precision;0.6
target_SE__precision_exact;0.5853658536585366
target_SE__recall;0.68
target_SE__recall_exact;0.64
target_SE_fn;48.0
target_SE_fn_exact;54.0
target_SE_fp;68.0
target_SE_fp_exact;74.0
target_SE_tp;102.0
target_SE_tp_exact;96.0
target__avg_TP_dice;0.9803921568627453
target__avg_dice;0.2702702702702703
target__cum_dice;100.00000000000001
target__f1measure;0.4322033898305085
target__f1measure_exact;0.41201716738197425
target__precision;0.5
target__precision_exact;0.48484848484848486
target__recall;0.3805970149253731
target__recall_exact;0.3582089552238806
target_fn;166.0
target_fn_exact;172.0
target_fp;102.0
target_fp_exact;108.0
target_tp;102.0
target_tp_exact;96.0
