micro_average_dice_SE;1.0
micro_average_dice_source;NaN
micro_average_dice_target;0.9790209790209791
micro_average_f1measure_SE;1.0
micro_average_f1measure_SE_exact;1.0
micro_average_f1measure_SE_source;NaN
micro_average_f1measure_SE_source_exact;NaN
micro_average_f1measure_SE_target;0.6046511627906977
micro_average_f1measure_SE_target_exact;0.5665961945031712
micro_average_f1measure_source;NaN
micro_average_f1measure_source_exact;NaN
micro_average_f1measure_target;0.6046511627906977
micro_average_f1measure_target_exact;0.5665961945031712
micro_average_precision_SE;1.0
micro_average_precision_SE_exact;1.0
micro_average_precision_SE_source;NaN
micro_average_precision_SE_source_exact;NaN
micro_average_precision_SE_target;0.697560975609756
micro_average_precision_SE_target_exact;0.6536585365853659
micro_average_precision_source;NaN
micro_average_precision_source_exact;NaN
micro_average_precision_target;0.697560975609756
micro_average_precision_target_exact;0.6536585365853659
micro_average_recall_SE;1.0
micro_average_recall_SE_exact;1.0
micro_average_recall_SE_source;NaN
micro_average_recall_SE_source_exact;NaN
micro_average_recall_SE_target;0.5335820895522388
micro_average_recall_SE_target_exact;0.5
micro_average_recall_source;NaN
micro_average_recall_source_exact;NaN
micro_average_recall_target;0.5335820895522388
micro_average_recall_target_exact;0.5
