%% <shifterVerb> <type>[<scope>] <pos>
begraben n [objd,obja,objc,obji,s,objp-*] verb
kaputtmachen g [objd,obja,objc,obji,s,objp-*] verb
absagen g [objd,obja,objc,obji,s,objp-*] verb
lösen g [objd,obja,objc,obji,s,objp-*] verb
beruhigen g [objd,obja,objc,obji,s,objp-*] verb
zunichtemachen g [objd,obja,objc,obji,s,objp-*] verb
annullieren g [objd,obja,objc,obji,s,objp-*] verb
widerrufen g [objd,obja,objc,obji,s,objp-*] verb
aufhören g [objd,obja,objc,obji,s,objp-*] verb
ablehnen g [objd,obja,objc,obji,s,objp-*] verb
verwerfen g [objd,obja,objc,obji,s,objp-*] verb
abstreifen n [objd,obja,objc,obji,s,objp-*] verb
vertreiben n [objd,obja,objc,obji,s,objp-*] verb
schwächen p [objd,obja,objc,obji,s,objp-*] verb
einstürzen g [subj] verb
zusammenbrechen g [objd,obja,objc,obji,s,objp-*] verb
enden g [subj] verb
einstellen g [objd,obja,objc,obji,s,objp-*] verb
weichen p [objd,obja,objc,obji,s,objp-*] verb
kneifen n [objd,obja,objc,obji,s,objp"von"] verb
sich_abseilen n [objd,obja,objc,obji,s,objp"von"] verb
sich_beruhigen g [objd,obja,objc,obji,s,objp-*] verb
ersticken g [objd,obja,objc,obji,s,objp-*] verb
stoppen g [objd,obja,objc,obji,s,objp-*] verb
hemmen g [objd,obja,objc,obji,s,objp-*] verb
fällen g [objd,obja,objc,obji,s,objp-*] verb
wegwerfen n [objd,obja,objc,obji,s,objp-*] verb
ausweichen n [objd,obja,objc,obji,s,objp-*] verb
umgehen n [objd,obja,objc,obji,s,objp-*] verb
verschwinden g [objd,obja,objc,obji,s,objp-*] verb
löschen n [objd,obja,objc,obji,s,objp"von"] verb
beseitigen n [objd,obja,objc,obji,s,objp"von"] verb
entfernen n [objd,obja,objc,obji,s,objp"von"] verb
verkürzen g [objd,obja,objc,obji,s,objp-*] verb
aussperren g [objd,obja,objc,obji,s,objp-*] verb
schließen g [objd,obja,objc,obji,s,objp-*] verb
abschließen g [objd,obja,objc,obji,s,objp-*] verb
stilllegen g [objd,obja,objc,obji,s,objp-*] verb
verschleiern g [objd,obja,objc,obji,s,objp-*] verb
auseinanderfallen g [objd,obja,objc,obji,s,objp-*] verb
loskommen g [objd,obja,objc,obji,s,objp-*] verb
abgehen g [objd,obja,objc,obji,s,objp-*] verb
herausgehen g [objd,obja,objc,obji,s,objp-*] verb
kompensieren n [objd,obja,objc,obji,s,objp-*] verb
überwinden n [objd,obja,objc,obji,s,objp-*] verb
verbrauchen g [objd,obja,objc,obji,s,objp-*] verb
verstoßen p [objd,obja,objc,obji,s,obj,"gegen"] verb
anfechten g [objd,obja,objc,obji,s,objp-*] verb
berichtigen n [objd,obja,objc,obji,s,objp-*] verb
abstellen n [objd,obja,objc,obji,s,objp-*] verb
ausgleichen n [objd,obja,objc,obji,s,objp-*] verb
neutralisieren n [objd,obja,objc,obji,s,objp-*] verb
unterminieren p [objd,obja,objc,obji,s,objp-*] verb
zerplatzen g [objd,obja,objc,obji,s,objp-*] verb
kaputtgehen g [objd,obja,objc,obji,s,objp-*] verb
lähmen p [objd,obja,objc,obji,s,objp-*] verb
sterben g [subj] verb
zerfallen g [subj] verb
zugrundegehen g [subj] verb
zerschmettern g [objd,obja,objc,obji,s,objp-*] verb
zügeln n [objd,obja,objc,obji,s,objp-*] verb
besiegen n [objd,obja,objc,obji,s,objp-*] verb
abschwächen n [objd,obja,objc,obji,s,objp-*] verb
reduzieren n [objd,obja,objc,obji,s,objp-*] verb
unterbinden g [objd,obja,objc,obji,s,objp-*] verb
unterlassen g [objd,obja,objc,obji,s,objp-*] verb
fernhalten g [objd,obja,objc,obji,s,objp-*] verb
ausfallen g [objd,obja,objc,obji,s,objp-*] verb
auslassen g [objd,obja,objc,obji,s,objp-*] verb
schaden g [objd,obja,objc,obji,s,objp-*] verb
abschalten n [objd,obja,objc,obji,s,objp-*] verb
töten g [objd,obja,objc,obji,s,objp-*] verb
vermindern g [objd,obja,objc,obji,s,objp-*] verb
versagen n [subj] verb
mindern p [objd,obja,objc,obji,s,objp-*] verb
verfallen g [subj] verb
abnehmen g [objd,obja,objc,obji,s,objp-*] verb
sinken g [subj] verb
absterben g [subj] verb
bremsen g [objd,obja,objc,obji,s,objp-*] verb
dezimieren g [objd,obja,objc,obji,s,objp-*] verb
sich_auflösen g [objd,obja,objc,obji,s,objp-*] verb
zurückgehen g [objd,obja,objc,obji,s,objp-*] verb
drosseln g [objd,obja,objc,obji,s,objp-*] verb
zerschlagen n [objd,obja,objc,obji,s,objp-*] verb
abweisen n [objd,obja,objc,obji,s,objp-*] verb
verschieben g [objd,obja,objc,obji,s,objp-*] verb
entweihen p [objd,obja,objc,obji,s,objp-*] verb
abbringen n [objd,obja,objc,obji,s,objp-*] verb
abwenden n [objd,obja,objc,obji,s,objp-*] verb
berauben p [objd,obja,objc,obji,s,objp-*] verb
sich_entziehen g [objd,obja,objc,obji,s,objp-*] verb
verkümmern p [objd,obja,objc,obji,s,objp-*] verb
abbauen g [objd,obja,objc,obji,s,objp-*] verb
aufschieben g [objd,obja,objc,obji,s,objp-*] verb
stunden g [objd,obja,objc,obji,s,objp-*] verb
behindern g [objd,obja,objc,obji,s,objp-*] verb
niederreißen g [objd,obja,objc,obji,s,objp-*] verb
negieren n [objd,obja,objc,obji,s,objp-*] verb
abschlagen n [objd,obja,objc,obji,s,objp-*] verb
widerstehen n [objd,obja,objc,obji,s,objp-*] verb
ablassen g [objd,obja,objc,obji,s,objp"von"] verb
absetzen g [objd,obja,objc,obji,s,objp-*] verb
abflauen g [objd,obja,objc,obji,s,objp-*] verb
enziehen g [objd,obja,objc,obji,s,objp"von"] verb
